Tempo_fs,Temp_K,E_pot_eV,E_kin_eV,E_tot_eV
2612.000,4653402785879.81,-95270.85727,75788828006.32043,75788732735.46317
2613.000,4652772112728.58,-77475.40490,75778556387.63922,75778478912.23433
2614.000,4652239478521.98,-76359.56602,75769881505.16473,75769805145.59871
2615.000,4651474796354.81,-45282.12368,75757427314.56190,75757382032.43823
2616.000,4649199703362.41,-105005.44810,75720373433.90009,75720268428.45198
2617.000,4646308373940.40,-99648.25803,75673283061.89551,75673183413.63748
2618.000,4645683017543.86,-105133.46750,75663098035.89169,75662992902.42419
2619.000,4646499182899.79,-72323.61882,75676390720.54231,75676318396.92349
2620.000,4646370947285.71,-27348.86151,75674302178.59862,75674274829.73711
2621.000,4643805517163.43,-78834.69204,75632519648.42740,75632440813.73535
2622.000,4641998063112.38,-88073.24001,75603082088.32188,75602994015.08188
2623.000,4642930520047.72,-66018.77463,75618268785.35789,75618202766.58327
2624.000,4643425603639.37,-90134.26453,75626332090.19153,75626241955.92700
2625.000,4642856906889.96,-107442.84983,75617069865.94156,75616962423.09174
2626.000,4642920571984.15,-97741.48173,75618106763.69046,75618009022.20874
2627.000,4641814601587.64,-67148.02221,75600094095.53806,75600026947.51584
2628.000,4641262527574.63,-96254.60038,75591102601.71211,75591006347.11174
2629.000,4641995910372.34,-94673.63366,75603047027.17374,75602952353.54007
2630.000,4641375023906.91,-89465.72011,75592934801.83983,75592845336.11972
2631.000,4641447870880.52,-97234.11826,75594121242.60326,75594024008.48499
2632.000,4642259563549.58,-84218.68984,75607341081.70161,75607256863.01178
2633.000,4641306691674.19,-67184.68171,75591821891.55217,75591754706.87045
2634.000,4640830880518.17,-82051.94342,75584072472.14317,75583990420.19975
2635.000,4641916575305.05,-86286.96902,75601754916.42236,75601668629.45334
2636.000,4643260602677.27,-98527.87226,75623644760.05637,75623546232.18411
